award_id,character
122,Moe
122,Carl
122,Duffman
122,Kirk
123,Moe
123,Carl
123,Duffman
127,Sideshow Mel
149,Bart Simpson
195,Moe Szyslak
196,Homer Simpson
197,Laney Fontaine
197,Shauna
197,Mrs. Muntz
222,Kent Brockman
222,Mr. Burns
222,Mr. Burns
222,Smithers
223,Kent Brockman
223,Mr. Burns
223,Mr. Burns
223,Smithers
254,Carl
254,Chief Wiggum
254,Comic Book Guy
254,Duffman
254,Mexican Duffman
254,Moe Szyslak
276,Barney Gumble
276,Homer Simpson
276,Krusty the Clown
276,Louie
299,Princess Penelope
301,Apu
301,Moe Szyslak
302,Grampa Simpson
302,Homer Simpson
325,Homer Simpson
326,Moe Szyslak
327,Kent Brockman
327,Lenny
327,Mr. Burns
327,Smithers
413,Sideshow Bob
660,Apu
758,Homer Simpson
764,Bart Simpson
765,Rabbi Krustofsky
766,Marge Simpson
766,Patty Bouvier
766,Selma Bouvier
766,Jacqueline Bouvier
767,Lisa Simpson
768,Edna Krabappel
769,Homer Simpson
123,Kirk
126,Homer Simpson
126,Krusty the Clown
126,Groundskeeper Willie
126,Sideshow Mel
127,Homer Simpson
127,Krusty the Clown
127,Groundskeeper Willie
1171,Mayor Quimby
1171,Hans Moleman
1173,Marge Simpson
1173,Patty Bouvier
1173,Selma Bouvier
1174,Lisa Simpson
1213,Marge Simpson
1213,Homer Simpson
1239,Mr. Burns
1213,Marge Simpson
1213,Homer Simpson
769,Grampa Simpson
954,Shary Bobbins
955,Shary Bobbins
956,Shary Bobbins
957,Bart Simpson
970,Mr. Burns
971,Sideshow Bob
972,Bender
973,Mr. Lassen
974,Maxine Lombard
985,Edna Krabappel
986,Isabel Gutiérrez
987,Ms. Cantwell
988,Homer Simpson
989,Bart Simpson
990,Edna Krabappel
1001,Homer Simpson
1002,Marge Simpson
1003,Bar Rag
1004,Mona Simpson
1005,Moe Szyslak
1006,Ned Flanders
1007,Edna Krabappel
1008,Martin Prince
1009,Bart Simpson
1073,Bart Simpson
1096,Lisa Simpson
1151,Apu Nahasapeemapetilon
1151,Chief Wiggum
1151,Lou
1151,Dr. Nick Riviera
1151,Professor Frink
1151,Luigi Risotto
1151,Captain Horatio McCallister
1151,Cletus Spuckler
1151,Duffman
1151,Drederick Tatum
1151,Wiseguy
1151,Doug
1151,Moe Szyslak
1151,Comic Book Guy
1151,Carl Carlson
1151,Snake Jailbird
1151,Kirk Van Houten
1151,Bumblebee Man
1151,Superintendent Chalmers
1151,Disco Stu
1151,Crazy Old Man
1151,Legs
1151,Akira
1151,Johnny Tightlips
1169,Moe Szyslak
1169,Chief Wiggum
1169,Apu Nahasapeemapetilon
1169,Comic Book Guy
1169,Carl Carlson
1169,Cletus Spuckler
1169,Professor Frink
1169,Dr. Nick Riviera
1171,Homer Simpson
1171,Grampa Simpson
1171,Barney Gumble
1171,Krusty the Clown
1171,Groundskeeper Willie
